referencia;estante;nombre;nombre_corto;iva;costo;precio
2367;0;GRAPA PLASTICA DUPLEX 20/22 N4;GRAPA PLASTICA DUPLEX 20/22 N4;16;499;1000
2372;0;GRAPA PLASTICA DUPLEX #9  2 X 14;GRAPA PLASTICA DUPLEX #9  2 X 14;16;370;1000
2368;0;GRAPA PLASTICA DUPLEX # 2X22;GRAPA PLASTICA DUPLEX # 2X22;16;480;1000
2370;0;GRAPA PLASTICA DUPLEX # 6 2 X 20;GRAPA PLASTICA DUPLEX # 6 2 X 20;16;370;1000
2369;0;GRAPA PLASTICA DUPLEX # 4;GRAPA PLASTICA DUPLEX # 4;16;370;1000
2361;0;GRAPA COAXIAL MEDIANA  R 6;GRAPA COAXIAL MEDIANA  R 6;16;370;1000
2360;0;GRAPA COAXIAL GRANDE;GRAPA COAXIAL GRANDE;16;370;1000
1187;0;BISAGRA CONTINUO X CENTIMETROS;BISAGRA CONTINUO X CENTIMETROS;16;28;60
2704;0;MALLA GALLINERO PLASTICA 1.80X50 NEGRA;MALLA GALLINERO PLASTICA 1.80X50 NEGRA;16;9;25
3766;0;WINCHE;WINCHE;16;0;11000
1133;0;AZADON GAVILAN #2;AZADON GAVILAN #2;16;0;16000
7,70691E+11;0;AZADON COLIMA #1;AZADON COLIMA #1;5;12390;18000
7,70634E+11;0;MEDI LUNA  HERRAGO;MEDI LUNA  HERRAGO;16;0;13000
7,70691E+11;0;PALA CARGADERA COLIMA  N 2;PALA CARGADERA COLIMA  N 2;16;7410;12000
7,70691E+11;0;PALA #4 COLIMA;PALA #4 COLIMA;16;8736;15000
7,70691E+11;0;PALA #2COLIMA;PALA #2COLIMA;5;6980;13000
7,70634E+11;0;PALA CARBONERA GRANDE HERRAGRO;PALA CARBONERA GRANDE HERRAGRO;16;21000;29000
7,70435E+11;0;"RESISTENCIA HACEB 8"" 110V";"RESISTENCIA HACEB 8"" 110V";16;18991;30000
7,70435E+11;0;"RESISTENCIA HACEB 8"" 220V";"RESISTENCIA HACEB 8"" 220V";16;18556;30000
2336;0;GANCHO AMACA X PAR;GANCHO AMACA X PAR;16;8600;14000
1468;0;CABO PICA;CABO PICA;16;2900;5000
1467;0;CABO PALA;CABO PALA;16;3370;5000
1466;0;CABO AZADON;CABO AZADON;16;2800;5000
2346;0;GANCHO TEJA FINO;GANCHO TEJA FINO;16;240;350
2345;0;GANCHO TEJA ECONOMICO;GANCHO TEJA ECONOMICO;16;98;200
1848;0;CODAL ALUMINIO X METRO  2 X 1;CODAL ALUMINIO X METRO  2 X 1;16;66;130
1548;0;CANALETA ADHESIVA 13X 8;CANALETA ADHESIVA 13X 8;16;1750;3000
1549;0;CANALETA ADHESIVA 20X12;CANALETA ADHESIVA 20X12;16;2300;4500
1550;0;CANALETA SIN ADHESIVO 20X12;CANALETA SIN ADHESIVO 20X12;16;1550;3500
1551;0;CANALETA SIN ADHESIVO 25X16;CANALETA SIN ADHESIVO 25X16;16;3598;5000
1552;0;CANALETA SIN ADHESIVO 25X25;CANALETA SIN ADHESIVO 25X25;16;5984;7800
1553;0;CANALETA SIN ADHESIVO 40X20;CANALETA SIN ADHESIVO 40X20;16;6500;10000
3648;0;TUBO CPVC  X CENTIMETROS;TUBO CPVC  X CENTIMETROS;16;27;50
2239;0;ESQUINERO PLASTICO   BEIS Y BLANCO;ESQUINERO PLASTICO   BEIS Y BLANCO;16;850;1700
3462;0;THINER TIPO EXTRA  X 1/2;THINER TIPO EXTRA  X 1/2;16;1570;2500
3463;0;THINER TIPO EXTRA  X BOTELLA;THINER TIPO EXTRA  X BOTELLA;16;3186;5000
3464;0;THINER TIPO EXTRA  X GARRAFA;THINER TIPO EXTRA  X GARRAFA;16;7091;10000
3460;0;THINER REENVASADO POR 1/2;THINER REENVASADO POR 1/2;16;1000;2000
3461;0;THINER REENVASADO POR BOTELLA;THINER REENVASADO POR BOTELLA;16;2000;3000
2098;0;DISOLVENTE POR BOTELLA;DISOLVENTE POR BOTELLA;16;2468;5000
2097;0;DISOLVENTE POR 1/2;DISOLVENTE POR 1/2;16;1289;2500
2099;0;DISOLVENTE POR GARRAFA;DISOLVENTE POR GARRAFA;16;5859;10000
3723;0;VARSOL POR 1/2;VARSOL POR 1/2;16;1380;2400
3724;0;VARSOL POR BOTELLA;VARSOL POR BOTELLA;16;2900;4600
2350;0;GASOLINA BLANCA X BOTELLA;GASOLINA BLANCA X BOTELLA;16;2643;5000
2349;0;GASOLINA BLANCA X 1/2;GASOLINA BLANCA X 1/2;16;1250;2500
1060;0;ALAMBRE DULCE X KILO C22;ALAMBRE DULCE X KILO C22;16;5836;8800
1059;0;ALAMBRE DULCE X KILO C20;ALAMBRE DULCE X KILO C20;16;4082;7500
1058;0;ALAMBRE DULCE X KILO C18;ALAMBRE DULCE X KILO C18;16;3500;6000
1057;0;ALAMBRE DULCE X  C16;ALAMBRE DULCE X  C16;16;2648;5500
1056;0;ALAMBRE DULCE X KILO C14;ALAMBRE DULCE X KILO C14;16;3410;6000
1055;0;ALAMBRE DULCE X KILO C12;ALAMBRE DULCE X KILO C12;16;3452;5800
3719;0;VARILLA ROSCADA 1/2;VARILLA ROSCADA 1/2;16;3928;8000
3721;0;VARILLA ROSCADA 3/8;VARILLA ROSCADA 3/8;16;2239;4500
3722;0;VARILLA ROSCADA 5/16;VARILLA ROSCADA 5/16;16;1698;3500
3720;0;VARILLA ROSCADA 1/4;VARILLA ROSCADA 1/4;16;1136;2000
1798;0;"CLAVO COMUN X CAJA CON CABEZA  3""";"CLAVO COMUN X CAJA CON CABEZA  3""";16;1786;2400
2275;0;EXTENSION 6 PIES NIPPON;EXTENSION 6 PIES NIPPON;16;2000;3500
1820;0;"CLAVO SIN CABEZA 1""";"CLAVO SIN CABEZA 1""";16;2164;3000
2381;0;GRAPAS CAJA ALAMBRAR X LIBRA;GRAPAS CAJA ALAMBRAR X LIBRA;16;2280;3250
1807;0;"CLAVO COMUN X CAJA CON CABEZA 6""";"CLAVO COMUN X CAJA CON CABEZA 6""";16;3604;4800
1805;0;"CLAVO COMUN CONCABEZA 4""";"CLAVO COMUN CONCABEZA 4""";16;3352;4800
7,70279E+11;0;BANDEJA CON RODILLO;BANDEJA CON RODILLO;16;0;12800
