referencia;proveedor;estante;nombre;referencia2;iva;cantidad;costo;precio;unidad_medida;fecha;fecha_trx
2372;0;0;GRAPA PLASTICA DUPLEX #9  2 X 14;243044605205;16;65;370;1000;;01/02/2011;31/03/2016
2368;0;0;GRAPA PLASTICA DUPLEX # 2X22;243044605207;16;68;480;1000;;01/02/2011;09/02/2016
2370;0;0;GRAPA PLASTICA DUPLEX # 6 2 X 20;243044605208;16;175;370;1000;;01/02/2011;09/04/2016
2369;0;0;GRAPA PLASTICA DUPLEX # 4;243044605209;16;99;370;1000;;01/02/2011;29/01/2016
2361;0;0;GRAPA COAXIAL MEDIANA  R 6;243044605210;16;199;370;1000;;01/02/2011;18/04/2016
2360;0;0;GRAPA COAXIAL GRANDE;243044605211;16;62;370;1000;;01/02/2011;18/04/2016
1187;0;0;BISAGRA CONTINUO X CENTIMETROS;243044605212;16;465;28;60;;01/02/2011;03/04/2016
2704;0;0;MALLA GALLINERO PLASTICA 1.80X50 NEGRA;243044605213;16;9350;9;25;;01/02/2011;19/04/2016
3766;0;0;WINCHE;243044605214;16;1;0;11000;;01/02/2011;        
1133;0;0;AZADON GAVILAN #2;243044605215;16;1;0;16000;;01/02/2011;02/01/2012
770691261009;0;0;AZADON COLIMA #1;770691261009;5;3;12390;18000;;01/02/2011;15/05/2014
770633500040;0;0;MEDI LUNA  HERRAGO;770633500040;16;0;0;13000;;01/02/2011;30/03/2011
770691268020;0;0;PALA CARGADERA COLIMA  N 2;770691268020;16;1;7410;12000;;01/02/2011;29/04/2014
770691268036;0;0;PALA #4 COLIMA;770691268036;16;2;8736;15000;;01/02/2011;19/03/2016
770691268035;0;0;PALA #2COLIMA;770691268035;5;1;6980;13000;;01/02/2011;13/09/2014
770633500080;0;0;PALA CARBONERA GRANDE HERRAGRO;770633500080;16;1;21000;29000;;01/02/2011;26/07/2012
770435300016;0;0;"RESISTENCIA HACEB 8"" 110V";770435300016;16;4;18991;30000;;01/02/2011;02/04/2016
770435300018;0;0;"RESISTENCIA HACEB 8"" 220V";770435300018;16;5;18556;30000;;01/02/2011;18/04/2016
2336;0;0;GANCHO AMACA X PAR;243044605227;16;3;8600;14000;;01/02/2011;19/01/2014
1468;0;0;CABO PICA;243044605228;16;7;2900;5000;;01/02/2011;25/03/2016
1467;0;0;CABO PALA;243044605229;16;12;3370;5000;;01/02/2011;19/03/2016
1466;0;0;CABO AZADON;243044605230;16;3;2800;5000;;01/02/2011;29/02/2016
2346;0;0;GANCHO TEJA FINO;243044605231;16;110;240;350;;01/02/2011;22/02/2016
2345;0;0;GANCHO TEJA ECONOMICO;243044605232;16;163;98;200;;01/02/2011;10/03/2016
1848;0;0;CODAL ALUMINIO X METRO  2 X 1;243044605233;16;1180;66;130;;01/02/2011;08/11/2015
1548;0;0;CANALETA ADHESIVA 13X 8;243044605234;16;25;1750;3000;;01/02/2011;09/04/2016
1549;0;0;CANALETA ADHESIVA 20X12;243044605235;16;30;2300;4500;;01/02/2011;18/04/2016
1550;0;0;CANALETA SIN ADHESIVO 20X12;243044605236;16;11;1550;3500;;01/02/2011;06/01/2016
1551;0;0;CANALETA SIN ADHESIVO 25X16;243044605237;16;8;3598;5000;;01/02/2011;30/03/2016
1552;0;0;CANALETA SIN ADHESIVO 25X25;243044605238;16;1;5984;7800;;01/02/2011;06/03/2014
1553;0;0;CANALETA SIN ADHESIVO 40X20;243044605239;16;15;6500;10000;;01/02/2011;06/12/2015
3648;0;0;TUBO CPVC  X CENTIMETROS;243044605240;16;2220;27;50;;01/02/2011;17/03/2016
2239;0;0;ESQUINERO PLASTICO   BEIS Y BLANCO;243044605241;16;5;850;1700;;01/02/2011;01/02/2016
3462;0;0;THINER TIPO EXTRA  X 1/2;243044605242;16;16;1570;2500;;01/02/2011;19/04/2016
3463;0;0;THINER TIPO EXTRA  X BOTELLA;243044605243;16;10;3186;5000;;01/02/2011;19/04/2016
3464;0;0;THINER TIPO EXTRA  X GARRAFA;243044605244;16;6;7091;10000;;01/02/2011;18/04/2016
3460;0;0;THINER REENVASADO POR 1/2;243044605245;16;10;1000;2000;;01/02/2011;07/02/2016
3461;0;0;THINER REENVASADO POR BOTELLA;243044605246;16;1;2000;3000;;01/02/2011;24/10/2015
2098;0;0;DISOLVENTE POR BOTELLA;243044605247;16;32;2468;5000;;01/02/2011;09/04/2016
2097;0;0;DISOLVENTE POR 1/2;243044605248;16;34;1289;2500;;01/02/2011;19/04/2016
2099;0;0;DISOLVENTE POR GARRAFA;243044605249;16;14;5859;10000;;01/02/2011;07/04/2016
3723;0;0;VARSOL POR 1/2;243044605250;16;46;1380;2400;;01/02/2011;06/04/2016
3724;0;0;VARSOL POR BOTELLA;243044605251;16;17;2900;4600;;01/02/2011;07/04/2016
2350;0;0;GASOLINA BLANCA X BOTELLA;243044605252;16;19;2643;5000;;01/02/2011;11/03/2016
2349;0;0;GASOLINA BLANCA X 1/2;243044605253;16;2;1250;2500;;01/02/2011;09/04/2016
1060;0;0;ALAMBRE DULCE X KILO C22;243044605254;16;1;5836;8800;;01/02/2011;10/12/2015
1059;0;0;ALAMBRE DULCE X KILO C20;243044605255;16;0;4082;7500;;01/02/2011;02/07/2015
1058;0;0;ALAMBRE DULCE X KILO C18;243044605256;16;27;3500;6000;;01/02/2011;04/04/2016
1057;0;0;ALAMBRE DULCE X  C16;243044605257;16;10;2648;5500;;01/02/2011;03/03/2016
1056;0;0;ALAMBRE DULCE X KILO C14;243044605258;16;30;3410;6000;;01/02/2011;07/04/2016
1055;0;0;ALAMBRE DULCE X KILO C12;243044605259;16;12;3452;5800;;01/02/2011;16/03/2016
3719;0;0;VARILLA ROSCADA 1/2;243044605260;16;12;3928;8000;;01/02/2011;19/04/2016
3721;0;0;VARILLA ROSCADA 3/8;243044605261;16;19;2239;4500;;01/02/2011;08/04/2016
3722;0;0;VARILLA ROSCADA 5/16;243044605262;16;18;1698;3500;;01/02/2011;24/03/2016
3720;0;0;VARILLA ROSCADA 1/4;243044605263;16;23;1136;2000;;01/02/2011;19/03/2016
1798;0;0;"CLAVO COMUN X CAJA CON CABEZA  3""";243044605265;16;31;1786;2400;;02/02/2011;19/04/2016
2275;0;0;EXTENSION 6 PIES NIPPON;243044605267;16;29;2000;3500;;02/02/2011;09/04/2016
1820;0;0;"CLAVO SIN CABEZA 1""";243044605268;16;10;2164;3000;;02/02/2011;07/03/2016
2381;0;0;GRAPAS CAJA ALAMBRAR X LIBRA;243044605269;16;70;2280;3250;;02/02/2011;31/03/2016
1807;0;0;"CLAVO COMUN X CAJA CON CABEZA 6""";243044605270;16;26;3604;4800;;02/02/2011;21/01/2016
